date - Annee,date - Trimestre,date - Mois,date - Jour,away_score,away_team,city,comp_sorted,competition.1,competition.2,country,full_score,home_score,home_team,neutral,score_difference,stadium,total_score,winner,world_cup
1965,Trim 3,juillet,31,3,South Africa,Wellington,South Africa tour,1965,South Africa tour,New Zealand,6 - 3,6,New Zealand,0,3,Athletic Park,9,New Zealand,0
1965,Trim 3,aout,21,0,South Africa,Dunedin,South Africa tour,1965,South Africa tour,New Zealand,13 - 0,13,New Zealand,0,13,Carisbrook,13,New Zealand,0
1965,Trim 3,septembre,4,19,South Africa,Christchurch,South Africa tour,1965,South Africa tour,New Zealand,16 - 19,16,New Zealand,0,-3,Lancaster Park,35,South Africa,0
1965,Trim 3,septembre,18,3,South Africa,Auckland,South Africa tour,1965,South Africa tour,New Zealand,20 - 3,20,New Zealand,0,17,Eden Park,23,New Zealand,0
1966,Trim 1,janvier,15,3,France,Edinburgh,Five Nations Championship,1966,Five Nations Championship,Scotland,3 - 3,3,Scotland,0,0,Murrayfield,6,Draw,0
1966,Trim 1,janvier,15,11,Wales,London,Five Nations Championship,1966,Five Nations Championship,England,6 - 11,6,England,0,-5,Twickenham,17,Wales,0
1966,Trim 1,janvier,29,6,Ireland,Paris,Five Nations Championship,1966,Five Nations Championship,France,11 - 6,11,France,0,5,Colombes,17,France,0
1966,Trim 1,fevrier,5,3,Scotland,Cardiff,Five Nations Championship,1966,Five Nations Championship,Wales,8 - 3,8,Wales,0,5,National Stadium,11,Wales,0
1966,Trim 1,fevrier,12,6,Ireland,London,Five Nations Championship,1966,Five Nations Championship,England,6 - 6,6,England,0,0,Twickenham,12,Draw,0
1966,Trim 1,fevrier,26,0,England,Colombes,Five Nations Championship,1966,Five Nations Championship,France,13 - 0,13,France,0,13,Stade Yves-du-Manoir,13,France,0
1966,Trim 1,fevrier,26,11,Scotland,Dublin,Five Nations Championship,1966,Five Nations Championship,Ireland,3 - 11,3,Ireland,0,-8,Lansdowne Road,14,Scotland,0
1966,Trim 1,mars,12,6,Wales,Dublin,Five Nations Championship,1966,Five Nations Championship,Ireland,9 - 6,9,Ireland,0,3,Lansdowne Road,15,Ireland,0
1966,Trim 1,mars,19,3,England,Edinburgh,Five Nations Championship,1966,Five Nations Championship,Scotland,6 - 3,6,Scotland,0,3,Murrayfield Stadium,9,Scotland,0
1966,Trim 1,mars,26,8,France,Cardiff,Five Nations Championship,1966,Five Nations Championship,Wales,9 - 8,9,Wales,0,1,National Stadium,17,Wales,0
1966,Trim 2,avril,9,21,France,Naples,FIRA Nations Cup,1966e67,FIRA Nations Cup,Italy,0 - 21,0,Italy,0,-21,Stadio Arturo Collana,21,France,0
1966,Trim 4,decembre,3,14,Australia,Cardiff,Australia tour,1966e67,"Australia tour of Great Britain, Ireland and France",Wales,11 - 14,11,Wales,0,-3,National Stadium,25,Australia,0
1966,Trim 4,decembre,17,5,Australia,Edinburgh,Australia tour,1966e67,"Australia tour of Great Britain, Ireland and France",Scotland,11 - 5,11,Scotland,0,6,Murrayfield Stadium,16,Scotland,0
1967,Trim 1,janvier,7,23,Australia,London,Australia tour,1966e67,"Australia tour of Great Britain, Ireland and France",England,11 - 23,11,England,0,-12,Twickenham Stadium,34,Australia,0
1967,Trim 1,janvier,14,9,Scotland,Colombes,Five Nations Championship,1967,Five Nations Championship,France,8 - 9,8,France,0,-1,Stade Yves-du-Manoir,17,Scotland,0
1967,Trim 1,janvier,21,8,Australia,Dublin,Australia tour,1966e67,"Australia tour of Great Britain, Ireland and France",Ireland,15 - 8,15,Ireland,0,7,Lansdowne Road,23,Ireland,0
1967,Trim 1,fevrier,4,5,Wales,Edinburgh,Five Nations Championship,1967,Five Nations Championship,Scotland,11 - 5,11,Scotland,0,6,Murrayfield Stadium,16,Scotland,0
